회사명,종목코드,티커,시장구분,업종,주요제품,상장일,결산월,대표자,홈페이지,주소지,alias
3S,60310,060310.KQ,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",반도체 웨이퍼 캐리어,2002-04-23,03월,김세완,http://www.3sref.com,서울특별시,"3s, 3S"
가비아,79940,079940.KQ,KOSDAQ,소프트웨어 개발 및 공급업,"도메인,호스팅",2005-10-19,12월,"김홍국, 원종홍 (공동대표이사)",http://www.gabia.com,경기도,가비아
가온그룹,78890,078890.KQ,KOSDAQ,통신 및 방송 장비 제조업,디지털셋톱박스,2005-07-12,12월,임동연,http://www.kaonmedia.com,경기도,가온그룹
가온전선,500,000500.KS,KOSPI,절연선 및 케이블 제조업,"전력선,통신케이블 제조,도매,수출입",1987-06-08,12월,정 현,http://www.gaoncable.com,경기도,가온전선
가온칩스,399720,399720.KQ,KOSDAQ,반도체 제조업,설계 솔루션 및 주문형 반도체,2022-05-20,12월,정규동,http://www.gaonchips.com,경기도,가온칩스
가이아코퍼레이션,296520,296520.KQ,KONEX,생활용품 도매업,"유아용품, 완구, 굿즈",2023-06-20,12월,나원석,http://gaiabiz.co.kr,경기도,가이아코퍼레이션
감성코퍼레이션,36620,036620.KQ,KOSDAQ,기타 전문 도매업,"의류, 의류디자인, 휴대폰 주변기기",2000-01-11,12월,김호선,http://www.gamsungcorp.co.kr,서울특별시,감성코퍼레이션
강남제비스코,860,000860.KS,KOSPI,기타 화학제품 제조업,"도료(페인트,락카,신나,에나멜,바니쉬),안료 제조,판매",1975-11-12,12월,"황익준,김재현(각자대표이사)",http://www.jevisco.com,부산광역시,강남제비스코
강동씨앤엘,198440,198440.KQ,KOSDAQ,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘",2014-08-13,12월,"구희택, 이훈창",http://koreacement.co.kr,전라남도,강동씨앤엘
강스템바이오텍,217730,217730.KQ,KOSDAQ,기초 의약물질 제조업,줄기세포치료제,2015-12-21,12월,나종천,http://www.kangstem.com,서울특별시,강스템바이오텍
강원랜드,35250,035250.KS,KOSPI,유원지 및 기타 오락관련 서비스업,"카지노,관광호텔,골프장,스키장,체육시설 운영",2003-09-04,12월,최철규,http://kangwonland.high1.com,강원특별자치도,강원랜드
강원에너지,114190,114190.KQ,KOSDAQ,기타 전기장비 제조업,플랜트설비(산업용 보일러),2009-11-20,12월,"신진용,유승주",http://kwenergy.co.kr,전북특별자치도,강원에너지
갤럭시아머니트리,94480,094480.KQ,KOSDAQ,소프트웨어 개발 및 공급업,전자결제,2007-07-20,12월,신동훈,http://www.galaxiamoneytree.co.kr,서울특별시,갤럭시아머니트리
갤럭시아에스엠,11420,011420.KS,KOSPI,스포츠 서비스업,"스포츠중계권,스포츠마케팅,광고",1989-11-14,12월,이반석,http://galaxiasme.com,서울특별시,갤럭시아에스엠
경남스틸,39240,039240.KQ,KOSDAQ,1차 철강 제조업,"냉연강판,아연도강판, 산세코일, 열연아연도금강판, 전기아연도금강판 등",2000-03-07,12월,최석우,http://www.ksteel.co.kr,경상남도,경남스틸
경남제약,53950,053950.KQ,KOSDAQ,의약품 제조업,PCB 드릴가공,2001-11-06,12월,"김성곤, 조정영 (각자 대표이사)",http://www.kyungnampharm.co.kr,경상남도,경남제약
경농,2100,002100.KS,KOSPI,"비료, 농약 및 살균, 살충제 제조업","완제농약(잡초약,살충제,살균제) 제조",1977-06-30,12월,"이병만,이용진",http://www.knco.co.kr,서울특별시,경농
경동나비엔,9450,009450.KS,KOSPI,가정용 기기 제조업,"가정용기름보일러,입형,횡형 온수보일러,가스보일러,버너,흡수식 냉온수기,전기보일러,진공온수보일러,태양열보일러 제조,판매",1993-08-31,12월,"손연호, 손흥락, 장희철",http://www.kdnavien.co.kr,경기도,경동나비엔
경동도시가스,267290,267290.KS,KOSPI,연료용 가스 제조 및 배관공급업,도시가스,2017-05-12,12월,"송재호, 나윤호",http://www.kdgas.co.kr,울산광역시,경동도시가스
경동인베스트,12320,012320.KS,KOSPI,기타 금융업,지주회사,1997-03-07,12월,정승진,http://www.kdinvest.co.kr,경기도,경동인베스트
경동제약,11040,011040.KQ,KOSDAQ,의약품 제조업,"듀오로반정, 발디핀정, 아트로반정 등",1992-12-18,12월,"류기성, 김경훈(각자 대표)",http://www.kdpharma.co.kr,경기도,경동제약
경방,50,000050.KS,KOSPI,종합 소매업,"섬유류(면사,면혼방사,면직물,면혼방직물,화섬사,화섬직물) 제조,도매,수출입",1956-03-03,12월,"김준, 김담",http://www.kyungbang.co.kr,서울특별시,경방
경보제약,214390,214390.KS,KOSPI,기초 의약물질 제조업,"아토르바스타틴, 세프티족심, 세프트리약손",2015-06-29,12월,김태영,http://www.kbpharma.co.kr,충청남도,경보제약
경인양행,12610,012610.KS,KOSPI,기초 화학물질 제조업,"반응성염료,직접염료,산성염료,삼원색원료 제조,수출입",1995-10-05,12월,"김흥준,조성용 (각자대표이사)",http://www.kyungin.co.kr,인천광역시,경인양행
경인전자,9140,009140.KS,KOSPI,전자부품 제조업,"스위치,리모콘,배선기구,섬머스타트,게임기,전자부품 제조,판매",1989-06-20,12월,김성은,http://www.kie.co.kr,서울특별시,경인전자
경창산업,24910,024910.KQ,KOSDAQ,자동차 신품 부품 제조업,"각종 케이블, 개폐랫치, 리저브탱크, 밴드류, 페달류, 오토트랜스미션부품, 시트용 단품",1994-12-29,12월,"손일호, 차석주",http://www.kc.co.kr,대구광역시,경창산업
계룡건설산업,13580,013580.KS,KOSPI,토목 건설업,"건축공사,주택공사,토목공사,포장공사,전기공사",1996-01-30,12월,"오태식, 윤길호",http://www.krcon.co.kr,대전광역시,계룡건설산업
계양전기,12200,012200.KS,KOSPI,일반 목적용 기계 제조업,"전동공구(그라인더,드릴,커팅머신 등), 엔진, 자동차용 모터 제조",1988-07-06,12월,임영환,http://www.keyang.co.kr,서울특별시,계양전기
고려산업,2140,002140.KS,KOSPI,"곡물가공품, 전분 및 전분제품 제조업","배합사료,플라스틱용기 제조/부동산 임대",1991-01-14,12월,"전장열, 김영교(각자 대표이사)",http://www.hafeed.co.kr,부산광역시,고려산업
고려신용정보,49720,049720.KQ,KOSDAQ,기타 사업지원 서비스업,"채권추심, 신용조사",2002-01-31,12월,윤태훈,http://www.koryoinfo.co.kr,서울특별시,고려신용정보
고려아연,10130,010130.KS,KOSPI,1차 비철금속 제조업,"연,아연괴 제조,판매",1990-07-28,12월,정태웅,http://www.koreazinc.co.kr,서울특별시,고려아연
고려제강,2240,002240.KS,KOSPI,1차 철강 제조업,"PC강선,선재 2차제품,와이어로프,비드와이어,SC(Surpass Coat) Stand,각종선재 제조,도매",1976-05-25,12월,주종대,http://www.kiswire.com,부산광역시,고려제강
고려제약,14570,014570.KQ,KOSDAQ,의약품 제조업,"하벤(종합감기약),뉴로메드(치매치료제)등",2000-12-07,12월,"박해룡, 박상훈 (각자대표)",http://www.nicepharma.com,경기도,고려제약
고바이오랩,348150,348150.KQ,KOSDAQ,자연과학 및 공학 연구개발업,마이크로바이옴 치료제 및 건강기능식품,2020-11-18,12월,고광표,http://kobiolabs.com,서울특별시,고바이오랩
고스트스튜디오,950190,950190.KQ,KOSDAQ,소프트웨어 개발 및 공급업,"캐주얼게임, 소셜카지노게임",2020-08-18,12월,"손창욱, 최명규 (공동대표)",http://www.ghoststudio.net,홍콩,고스트스튜디오
고영,98460,098460.KQ,KOSDAQ,특수 목적용 기계 제조업,전자제품및반도체생산용 3차원 납도포검사장비,2008-06-03,12월,고광일,http://www.kohyoung.com,경기도,고영
골드앤에스,35290,035290.KQ,KOSDAQ,"서적, 잡지 및 기타 인쇄물 출판업","방과후컴퓨터상설반,교재및CD",1999-12-07,12월,신승호,http://www.goldns.co.kr,서울특별시,골드앤에스
골프존,215000,215000.KQ,KOSDAQ GLOBAL,소프트웨어 개발 및 공급업,골프시뮬레이터,2015-04-03,12월,"최덕형, 박강수",http://www.golfzon.com,서울특별시,골프존
골프존뉴딘홀딩스,121440,121440.KQ,KOSDAQ,상품 중개업,골프시뮬레이터,2011-05-20,12월,최덕형,http://golfzonnewdin.com,서울특별시,골프존뉴딘홀딩스
공구우먼,366030,366030.KQ,KOSDAQ,의복 액세서리 제조업,플러스사이즈 여성용 의류 및 잡화,2022-03-23,12월,김주영,http://www.09women.net,경기도,공구우먼
관악산업,76340,076340.KQ,KONEX,기반조성 및 시설물 축조관련 전문공사업,"수중공사, 준설공사 등",2015-05-18,12월,이규항,http://www.gwan-ak.co.kr,서울특별시,관악산업
광동제약,9290,009290.KS,KOSPI,의약품 제조업,"의약품,식음료 제조,도매",1989-11-17,12월,최성원,http://www.ekdp.com,경기도,광동제약
광동헬스바이오,86220,086220.KQ,KONEX,기타 식품 제조업,건강기능식품,2015-07-09,12월,정 화 영,http://www.kdhealthbio.com,충청북도,광동헬스바이오
광림,14200,014200.KQ,KOSDAQ,자동차용 엔진 및 자동차 제조업,"전기공사용 특수차량 및 중량물 운반용 크레인을 생산, 판매하는 제조업체",1993-07-07,12월,송태영,http://www.kanglim.com,충청북도,광림
광명전기,17040,017040.KS,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수배전반,가스절연개폐장치,빌딩자동화시스템,중앙감시반,자동제어반 제조,도소매,무역",1990-09-14,12월,"이재광, 김소정",http://www.kmec.co.kr,경기도,광명전기
광무,29480,029480.KQ,KOSDAQ,통신 및 방송 장비 제조업,"네트워크 통합사업,네트워크 장비, 光 전송장비, S/W 제조, 네트워크관리",1996-08-27,12월,이상연,http://www.kdccorp.co.kr,서울특별시,광무
광전자,17900,017900.KS,KOSPI,반도체 제조업,"트랜지스터,SMD TR,발광소자,리모콘모듈,발광다이오드(L.E.D),다이오드용웨이퍼팹(Fab) 제조,판매",1996-10-16,12월,최재완,http://www.auk.co.kr,전북특별자치도,광전자
광주신세계,37710,037710.KS,KOSPI,종합 소매업,백화점,2002-02-07,12월,이동훈,http://www.gjshinsegae.com,광주광역시,광주신세계
광진실업,26910,026910.KQ,KOSDAQ,1차 철강 제조업,마봉,1996-01-03,12월,허유석,http://www.kjsteel.co.kr,부산광역시,광진실업
교보13호스팩,440790,440790.KQ,KOSDAQ,금융 지원 서비스업,기업 인수 및 합병,2022-11-02,12월,최윤석,,서울특별시,교보13호스팩
교보14호스팩,456490,456490.KQ,KOSDAQ,금융 지원 서비스업,기업 인수 및 합병,2023-07-06,12월,박상연,,서울특별시,교보14호스팩
교보15호스팩,465320,465320.KQ,KOSDAQ,금융 지원 서비스업,기업인수합병,2023-12-05,12월,김상도,,서울특별시,교보15호스팩
교보16호스팩,482520,482520.KQ,KOSDAQ,금융 지원 서비스업,기업인수합병,2024-08-13,12월,정시화,,서울특별시,교보16호스팩
교보17호스팩,489210,489210.KQ,KOSDAQ,금융 지원 서비스업,기업인수합병,2024-11-21,12월,장정훈,,서울특별시,교보17호스팩
교보증권,30610,030610.KS,KOSPI,금융 지원 서비스업,"유가증권 매매,중개,대리,인수",2002-07-18,12월,"박봉권, 이석기 (각자대표)",http://www.iprovest.com,서울특별시,교보증권
교촌에프앤비,339770,339770.KS,KOSPI,음·식료품 및 담배 도매업,치킨 프랜차이즈,2020-11-12,12월,송종화,http://kyochonfnb.com,경상북도,교촌에프앤비
구영테크,53270,053270.KQ,KOSDAQ,자동차 신품 부품 제조업,엔진 브라켓(Engine Bracket) 등,2002-02-07,12월,"김대원, 이희화(각자대표)",http://www.guyoungtech.com,대구광역시,구영테크
국도화학,7690,007690.KS,KOSPI,기초 화학물질 제조업,"에폭시수지,폴리아마이드수지,아염소산소다 제조,도소매",1989-08-05,12월,"이시창, 황문성",http://www.kukdo.com,서울특별시,국도화학
국보,1140,001140.KS,KOSPI,도로 화물 운송업,"화물자동차운송,콘테이너운송,수출입화물보관,도로운송,CY보관,하역",1989-12-02,12월,"박찬하, 김룡영(각자 대표)",http://www.kukbo.com,부산광역시,국보
국보디자인,66620,066620.KQ,KOSDAQ,실내건축 및 건축마무리 공사업,인테리어디자인,2002-09-05,12월,"황창연,김민기(각자 대표이사)",http://www.ikukbo.com,서울특별시,국보디자인
국순당,43650,043650.KQ,KOSDAQ,알코올음료 제조업,탁주 및 약주,2000-08-24,12월,배상민,http://www.ksdb.co.kr,강원특별자치도,국순당
국영지앤엠,6050,006050.KQ,KOSDAQ,유리 및 유리제품 제조업,강화유리,1994-10-07,12월,"최재원,JUSTIN CHOE(최경승)",http://www.kukyong.com,서울특별시,국영지앤엠
국일신동,60480,060480.KQ,KOSDAQ,1차 비철금속 제조업,황동봉,2014-12-29,12월,"최두현,손인국 (각자대표)",http://www.kukilmetal.com,경기도,국일신동
국일제지,78130,078130.KQ,KOSDAQ,기타 종이 및 판지 제품 제조업,"산업용 및 가정용 지류(강판간지, 다공지 등)",2004-10-22,12월,강태현,http://www.kukilpaper.co.kr,경기도,국일제지
국전약품,307750,307750.KQ,KOSDAQ,의약품 제조업,기업 인수 및 합병,2018-12-19,12월,홍종호,http://kukjeon.co.kr,경기도,국전약품
국제약품,2720,002720.KS,KOSPI,의약품 제조업,"항생제,안약,제약 제조,도매",1975-12-27,12월,"남영우, 남태훈",http://www.kukjepharm.co.kr,경기도,국제약품
그래디언트,35080,035080.KQ,KOSDAQ,무점포 소매업,전자상거래,1999-07-05,12월,"이기형, 남인봉(각자 대표이사)",http://www.gradiant.co.kr,서울특별시,그래디언트
그리드위즈,453450,453450.KQ,KOSDAQ,"그외 기타 전문, 과학 및 기술 서비스업","수요관리 서비스, 전기차 충전기 모뎀 등",2024-06-14,12월,김구환,http://www.gridwiz.com,경기도,그리드위즈
그리티,204020,204020.KQ,KOSDAQ,봉제의복 제조업,"내의(원더브라, 플레이텍스, 미싱도로시, 르페)",2018-07-23,12월,문영우,http://www.gritees.com,서울특별시,그리티
그린리소스,402490,402490.KQ,KOSDAQ,반도체 제조업,반도체 및 디스플레이 장비 보호코팅 및 소재,2023-11-24,12월,"이종수,이종범(공동대표이사)",http://www.greenresource.kr,인천광역시,그린리소스
그린생명과학,114450,114450.KQ,KOSDAQ,기초 의약물질 제조업,의약품 중간체 등,2009-12-22,12월,"양준화, 이기성(각자 대표이사)",http://www.kpxls.com,전라남도,그린생명과학
그린케미칼,83420,083420.KS,KOSPI,기타 화학제품 제조업,"비이온계면활성제 제조,도매",2005-10-20,12월,양준화,http://www.korgc.com,충청남도,그린케미칼
그린플러스,186230,186230.KQ,KOSDAQ,1차 비철금속 제조업,"첨단유리온실, 온실용자재설치공사, 알루미늄 압출/가공제품",2019-08-07,12월,"박영환, 정순태",http://www.greenplus.co.kr,충청남도,그린플러스
극동유화,14530,014530.KS,KOSPI,석유 정제품 제조업,"윤활유,유동파라핀,왁스,방수용시트,아스팔트 제조/수입자동차,부품 도매/가스충전,산업설비 청소",1991-01-31,12월,"장홍선, 장선우 (각자대표)",http://www.kdoc.co.kr,경상남도,극동유화
글로벌에스엠,900070,900070.KQ,KOSDAQ,기타 금융업,"자회사 제품 : IT기기용 정밀 화스너부품(스크류, 샤프트, 스프링)",2009-12-23,12월,유대희,http://www.globalsmtech.com,케이맨 제도,글로벌에스엠
글로벌텍스프리,204620,204620.KQ,KOSDAQ,금융 지원 서비스업,환급창구운영사업,2014-11-19,12월,강진원,http://global-taxfree.com,서울특별시,글로벌텍스프리
글로본,19660,019660.KQ,KOSDAQ,상품 종합 도매업,화장품 외,1992-06-04,12월,한상호,http://www.globon.co.kr,서울특별시,글로본
금강공업,14280,014280.KS,KOSPI,1차 철강 제조업,"건설가설재,강관,거푸집 제조,판매",1988-09-10,12월,"전장열, 전재범 (각자 대표이사)",http://www.kumkangkind.com,부산광역시,금강공업
금강철강,53260,053260.KQ,KOSDAQ,1차 철강 제조업,"냉연압연강판, 산세코일",2002-01-04,12월,"주광남, 주성호(각자 대표)",http://www.kksteel.co.kr,서울특별시,금강철강
금비,8870,008870.KS,KOSPI,유리 및 유리제품 제조업,"유리제품(주류병) 제조/화장품 도소매,수입(병제조기기)",1990-06-08,09월,고기영,http://www.e-kumbi.co.kr,경기도,금비
금양,1570,001570.KS,KOSPI,기초 화학물질 제조업,"발포제,사카린,OPTSA,베나졸,TCA 제조",1976-12-17,12월,류광지,http://www.kyc.co.kr,부산광역시,금양
금양그린파워,282720,282720.KQ,KOSDAQ,전기 및 통신 공사업,"플랜트, 발전소 및 신재생에너지 발전소 공사 및 용역",2023-03-13,12월,"이윤철, 이기보",http://www.kygp.co.kr,울산광역시,금양그린파워
금호건설,2990,002990.KS,KOSPI,건물 건설업,"종합건설/여객운송,관광/부동산 임대,분양",1976-06-26,12월,조완석,http://www.kumhoenc.com,전라남도,금호건설
금호석유화학,11780,011780.KS,KOSPI,기초 화학물질 제조업,"합성고무 SBR(스티렌부타디엔러버),BR(폴리부타디엔러버),합성수지,BD,라텍스 제조,도소매",1988-01-22,12월,백종훈,http://www.kkpc.com,서울특별시,금호석유화학
금호에이치티,214330,214330.KS,KOSPI,자동차 신품 부품 제조업,자동차용 전구 및 LED모듈,2015-11-11,12월,"김진곤, 김두인(각자대표)",http://www.kumhoht.co.kr,광주광역시,금호에이치티
금호전기,1210,001210.KS,KOSPI,전구 및 조명장치 제조업,"형광등,백열전구,전구식현광등,실드빔(차량용전조) 제조,판매",1973-11-15,12월,이홍민,http://www.khe.co.kr,서울특별시,금호전기
금호타이어,73240,073240.KS,KOSPI,고무제품 제조업,"타이어,튜브 제조,도매,무역",2005-02-17,12월,정일택,http://www.kumhotire.co.kr,광주광역시,금호타이어
금화피에스시,36190,036190.KQ,KOSDAQ,전기 및 통신 공사업,"설비,철물,전기,강구조물",2000-12-26,12월,"김성기,김경태(각자대표)",http://www.geumhwa.co.kr,서울특별시,금화피에스시
기가레인,49080,049080.KQ,KOSDAQ,전자부품 제조업,RF통신부품 및 반도체 장비,2013-12-19,12월,김현제,http://www.gigalane.com,경기도,기가레인
기가비스,420770,420770.KQ,KOSDAQ,특수 목적용 기계 제조업,반도체 기판용 광학검사 및 수리장비,2023-05-24,12월,강해철,http://www.gigavis.com,경기도,기가비스
기산텔레콤,35460,035460.KQ,KOSDAQ,통신 및 방송 장비 제조업,"광모듈, 에코 켄슬러, 중계기, VoIP Server등",1999-11-18,12월,박병기,http://www.kisantel.co.kr,서울특별시,기산텔레콤
기신정기,92440,092440.KS,KOSPI,특수 목적용 기계 제조업,"몰드베이스,금형부품,정밀기계기구 제조,도매,무역",2007-10-30,03월,윤현도,http://www.kishin.com,인천광역시,기신정기
기아,270,000270.KS,KOSPI,자동차용 엔진 및 자동차 제조업,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",1973-07-21,12월,"송호성,최준영(각자 대표이사)",http://www.kia.co.kr,서울특별시,"Kia, 기아"
기업은행,24110,024110.KS,KOSPI,은행 및 저축기관,은행업,2003-12-24,12월,김성태,http://www.ibk.co.kr,서울특별시,기업은행
길교이앤씨,456700,456700.KQ,KONEX,"건축기술, 엔지니어링 및 관련 기술 서비스업",강합성 라멘교,2023-07-26,12월,김선동,http://www.gilgyo.com,경상북도,길교이앤씨
까뮤이앤씨,13700,013700.KS,KOSPI,건물 건설업,"토목공사,건축공사/부동산 임대",1989-11-30,12월,"손병재, 이은규 (각자 대표이사)",http://www.camusenc.com,경기도,까뮤이앤씨
깨끗한나라,4540,004540.KS,KOSPI,"펄프, 종이 및 판지 제조업","펄프,판지원지,화장지 제조,수출입",1975-06-25,12월,"최현수, 이동열",http://www.kleannara.com,서울특별시,깨끗한나라
꿈비,407400,407400.KQ,KOSDAQ,가구 제조업,"놀이방매트, 유아거실가구 등",2023-02-09,12월,박영건,http://ggumbi.com,경기도,꿈비
나노,187790,187790.KQ,KOSDAQ,기초 화학물질 제조업,SCR촉매,2014-05-08,12월,신동우,http://nanoin.com,경상북도,나노
나노브릭,286750,286750.KQ,KOSDAQ,기초 화학물질 제조업,"보안응용제품(M-tag 및 M-pac), 보안소재제품(M-secuprint)",2019-08-19,12월,임용택,http://www.nanobrick.co.kr,경기도,나노브릭
나노신소재,121600,121600.KQ,KOSDAQ,기타 화학제품 제조업,"인듐계 산화물 TCO Target, 반도체 CMP Slurry 등",2011-02-09,12월,박장우,http://anapro.com,세종특별자치시,나노신소재
나노씨엠에스,247660,247660.KQ,KOSDAQ,전자부품 제조업,"근적외선 흡수/반사 안료, 자외선 유기형광 안료, 적외선 발광체",2021-03-09,12월,신동근,http://www.nanocms.co.kr,충청남도,나노씨엠에스
나노엔텍,39860,039860.KQ,KOSDAQ,의료용 기기 제조업,의료기기 및 실험기기,2000-08-16,12월,정찬일,http://www.nanoentek.com,서울특별시,나노엔텍
나노캠텍,91970,091970.KQ,KOSDAQ,플라스틱제품 제조업,투명전도성관련제품,2007-01-30,12월,신해용,http://www.nanosbiz.com,경기도,나노캠텍
나노팀,417010,417010.KQ,KOSDAQ,일반 목적용 기계 제조업,전기차용 방열제품,2023-03-03,12월,최윤성,http://www.nanotim.co.kr,대전광역시,나노팀
나눔테크,244880,244880.KQ,KONEX,의료용 기기 제조업,"자동심장충격기, 골밀도진단기",2016-06-01,12월,최무진,http://www.nanoomtech.co.kr,광주광역시,나눔테크
나라셀라,405920,405920.KQ,KOSDAQ,음·식료품 및 담배 도매업,와인 도소매,2023-06-02,12월,마승철,http://www.naracellar.com,경기도,나라셀라
나라소프트,288490,288490.KQ,KONEX,소프트웨어 개발 및 공급업,"체육용솔루션(NS트루골프, NS테니스, NS축구, NS승마 등)",2018-11-23,12월,김호상,http://www.narasoft.com,서울특별시,나라소프트
나라엠앤디,51490,051490.KQ,KOSDAQ,특수 목적용 기계 제조업,"금형,사출 및 판금부품",2001-06-12,12월,"김영조, 김정훈 (각자 대표이사)",http://www.naramnd.com,경상남도,나라엠앤디
나래나노텍,137080,137080.KQ,KOSDAQ,특수 목적용 기계 제조업,"디스플레이 장비 (포토, 코팅, 모듈 장비)",2022-02-08,12월,"김민호, 정좌진 각자대표이사",http://www.naraenano.co.kr,경기도,나래나노텍
나무가,190510,190510.KQ,KOSDAQ,전자부품 제조업,"스마트폰 카메라모듈, 노트북 카메라모듈",2015-11-12,12월,이동호,http://www.namuga.co.kr,경기도,나무가
나무기술,242040,242040.KQ,KOSDAQ,소프트웨어 개발 및 공급업,응용소프트웨어 개발 및 공급업,2016-09-07,12월,정철,http://namutech.co.kr,서울특별시,나무기술
나스미디어,89600,089600.KQ,KOSDAQ,광고업,광고매체 판매,2013-07-17,12월,박평권,http://www.nasmedia.co.kr,서울특별시,나스미디어
나우코스,257990,257990.KQ,KONEX,기타 화학제품 제조업,"화장품, 동물용의약외품",2020-12-30,12월,김태원 (단독대표이사),http://www.nowcos.com,세종특별자치시,나우코스
나우IB,293580,293580.KQ,KOSDAQ,기타 금융업,"투자조합, PEF 결성 및 투자",2018-10-04,12월,이승원,http://www.nauib.com,서울특별시,"나우ib, 나우IB"
나이벡,138610,138610.KQ,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,"치아미백제,치과용 골이식재",2011-07-13,12월,정종평,https://nibec.co.kr,충청북도,나이벡
나이스디앤비,130580,130580.KQ,KOSDAQ,기타 사업지원 서비스업,기업신용조사 보고서,2011-12-22,12월,오규근,http://www.nicednb.com,서울특별시,나이스디앤비
나이스정보통신,36800,036800.KQ,KOSDAQ,전기 통신업,카드 VAN사업,2000-05-03,12월,김승현,http://www.nicevan.co.kr,서울특별시,나이스정보통신
나인테크,267320,267320.KQ,KOSDAQ,특수 목적용 기계 제조업,이차전지 제조 장비,2017-06-22,12월,박근노,http://www.naintec.co.kr,경기도,나인테크
남광토건,1260,001260.KS,KOSPI,토목 건설업,"토목공사,건축공사,기전공사,측량설계시공,용역/철구조물 제조",1976-12-28,12월,"김종수, 이동철(각자대표)",http://www.namkwang.co.kr,경기도,남광토건
남선알미늄,8350,008350.KS,KOSPI,1차 비철금속 제조업,알미늄샷시 제조/환경사업,1978-05-22,12월,"박귀봉, 정순원(각자대표)",http://www.namsun.co.kr,대구광역시,남선알미늄
남성,4270,004270.KS,KOSPI,기타 전문 도매업,"수출입(카오디오)/통신기기 제조,판매/이동통신,유선방송,정보통신/생활필수품,식품 판매/부동산 임대",1989-11-14,12월,윤성호,http://www.namsung.com,서울특별시,남성
남양유업,3920,003920.KS,KOSPI,동·식물성 유지 및 낙농제품 제조업,"시유,조제분유,발효유,이유밀,치즈,프렌치까페 제조,도매",1978-06-24,12월,김승언(대표집행임원),http://www.namyangi.com,서울특별시,남양유업
남해화학,25860,025860.KS,KOSPI,"비료, 농약 및 살균, 살충제 제조업","비료(요소,복합비료),공업제품원료 제조,도매",1995-11-10,12월,김창수,http://www.nhchem.co.kr,서울특별시,남해화학
남화산업,111710,111710.KQ,KOSDAQ,스포츠 서비스업,골프장 서비스,2018-11-29,12월,"최재훈, 최영곤 (공동대표이사)",http://www.muangc.co.kr,전라남도,남화산업
남화토건,91590,091590.KQ,KOSDAQ,건물 건설업,"건축공사, 토목공사",2012-01-31,12월,"최재훈,박윤수",http://www.namhwaconst.co.kr,전라남도,남화토건
내츄럴엔도텍,168330,168330.KQ,KOSDAQ,자연과학 및 공학 연구개발업,"백수오 여성호르몬제, 백수오등복합추출물(원료)",2013-10-31,12월,김희도,http://www.naturalendo.com,경기도,내츄럴엔도텍
네오리진,94860,094860.KQ,KOSDAQ,소프트웨어 개발 및 공급업,네트워크장비공급및인터넷트래픽솔루션,2007-04-16,12월,첸보(Chen Bo),http://www.kornicglory.co.kr,서울특별시,네오리진
네오셈,253590,253590.KQ,KOSDAQ,특수 목적용 기계 제조업,반도체 검사장비,2018-04-04,12월,염동현,http://www.neosem.com,경기도,네오셈
네오오토,212560,212560.KQ,KOSDAQ,자동차 신품 부품 제조업,"피니언 기어, 디프 어셈블리, 대형기어",2015-11-18,12월,"김원일, 김선현(각자대표이사)",http://www.neooto.kr,서울특별시,네오오토
네오위즈,95660,095660.KQ,KOSDAQ,소프트웨어 개발 및 공급업,"피망,스페셜포스",2007-07-02,12월,"김승철, 배태근 (공동대표)",http://www.neowizgames.com,경기도,네오위즈
네오위즈홀딩스,42420,042420.KQ,KOSDAQ,소프트웨어 개발 및 공급업,지주사업,2000-06-27,12월,김상욱,http://www.neowiz.com,경기도,네오위즈홀딩스
네오이뮨텍,950220,950220.KQ,KOSDAQ,자연과학 및 공학 연구개발업,면역항암제,2021-03-16,12월,Luke Yun Suk Oh,http://neoimmunetech.co.kr,미국,네오이뮨텍
네오크레마,311390,311390.KQ,KOSDAQ,기타 식품 제조업,기능성 식품 원료,2019-08-22,12월,"한기수, 이준우 (공동대표이사)",http://www.cremar.co.kr,서울특별시,네오크레마
네오티스,85910,085910.KQ,KOSDAQ,자동차 신품 부품 제조업,"마이크로비트,샤프트",2007-10-01,12월,권상훈,http://www.neotis.co.kr,경기도,네오티스
네오팜,92730,092730.KQ,KOSDAQ,기타 화학제품 제조업,생체기능성(아토피)보습제,2007-01-30,12월,김양수,http://neopharm.co.kr,대전광역시,네오팜
네오펙트,290660,290660.KQ,KOSDAQ,의료용 기기 제조업,라파엘스마트글러브 외,2018-11-28,12월,반호영,http://www.neofect.com,경기도,네오펙트
네온테크,306620,306620.KQ,KOSDAQ,특수 목적용 기계 제조업,기업인수합병,2018-10-31,12월,황성일,http://www.neontech.co.kr,경기도,네온테크
네이블,153460,153460.KQ,KOSDAQ,소프트웨어 개발 및 공급업,"유무선융합 인프라, 클라이언트 및 All-IP 통신보안",2012-07-19,12월,"양건열, 조종화",http://www.nablecomm.com,서울특별시,네이블
네이처셀,7390,007390.KQ,KOSDAQ,기초 의약물질 제조업,닥터쥬크르,1992-11-30,12월,변대중,http://www.naturecell.co.kr,서울특별시,네이처셀
