회사명,종목코드,티커,시장구분,업종,주요제품,상장일,결산월,대표자,홈페이지,주소지,alias
에이스침대,3800,003800.KQ,KOSDAQ,가구 제조업,침대,1996-05-03,12월,안성호,http://www.acebed.co.kr,경기도,에이스침대
에이스테크,88800,088800.KQ,KOSDAQ,통신 및 방송 장비 제조업,"단말기용안테나,기지국용안테나",2006-03-27,12월,최문우,http://www.aceantenna.co.kr/kor,인천광역시,에이스테크
에이스토리,241840,241840.KQ,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송프로그램 제작,2019-07-19,12월,이상백,http://www.astory.co.kr,서울특별시,에이스토리
에이아이더뉴트리진,311960,311960.KQ,KONEX,소프트웨어 개발 및 공급업,"건강기능식품, AI솔루션, 분자진단키트",2022-11-29,12월,김 수 화,http://aithenutrigene.com,경기도,에이아이더뉴트리진
에이에스텍,453860,453860.KQ,KOSDAQ,기타 화학제품 제조업,자외선 차단제 유기 원료,2023-11-28,12월,"윤종배,이승재",http://www.asteh.co.kr,충청남도,에이에스텍
에이에프더블류,312610,312610.KQ,KOSDAQ,일차전지 및 이차전지 제조업,음극마찰용접단자,2019-07-01,12월,김명훈,http://www.asanfw.com,경상북도,에이에프더블류
에이엔피,15260,015260.KS,KOSPI,전자부품 제조업,"전자부품(인쇄회로기판),무정전 전원공급장치 제조",1988-01-18,12월,전운관,http://anpcb.co.kr,인천광역시,에이엔피
에이엘티,172670,172670.KQ,KOSDAQ,반도체 제조업,반도체 테스트 및 패키징(반도체 후공정),2023-07-27,12월,천병태,http://alt-s.kr,충청북도,에이엘티
에이엠시지,495900,495900.KQ,KONEX,의료용 기기 제조업,심자계,2024-12-13,12월,서용성,http://www.amcg.kr,서울특별시,에이엠시지
에이원알폼,234070,234070.KQ,KONEX,산업용 기계 및 장비 임대업,건설현장용 알루미늄 거푸집 임대,2015-12-21,12월,안호중,http://www.aonealform.co.kr,충청북도,에이원알폼
에이유브랜즈,481070,481070.KQ,KOSDAQ,"섬유, 의복, 신발 및 가죽제품 소매업","레인부츠, 스니커즈, 겨울화, 패션잡화 등",2025-04-03,12월,김지훈,http://aubrandz.irpage.co.kr,서울특별시,에이유브랜즈
에이직랜드,445090,445090.KQ,KOSDAQ,반도체 제조업,"비메모리 반도체 설계및 제조, 전자회로 연구, 설계, 레이아웃 등",2023-11-13,12월,이종민,http://www.asicland.com,경기도,에이직랜드
에이치브이엠,295310,295310.KQ,KOSDAQ,1차 비철금속 제조업,"Ni계 합금, Fe계 합금, 스퍼터링타겟, Cu계 합금 등",2024-06-28,12월,문승호,http://hvm.co.kr,경기도,에이치브이엠
에이치시티,72990,072990.KQ,KOSDAQ,기타 과학기술 서비스업,기술검사서비스,2016-10-17,12월,허 봉 재,http://www.hct.co.kr,경기도,에이치시티
에이치엔에스하이텍,44990,044990.KQ,KOSDAQ,전자부품 제조업,"ACF(이방성전도필름), 수정진동자/수정발진기",2024-10-25,12월,김정희,http://www.hnshightech.com,대전광역시,에이치엔에스하이텍
에이치엘사이언스,239610,239610.KQ,KOSDAQ,기타 식품 제조업,건강기능식품 등,2016-10-28,12월,이해연,http://www.hlscience.com,경기도,에이치엘사이언스
에이치엠넥스,36170,036170.KQ,KOSDAQ,반도체 제조업,LED패키지,1999-12-21,12월,하관호,http://www.hmnex.co.kr,경기도,에이치엠넥스
에이치엠씨제6호스팩,462020,462020.KQ,KOSDAQ,금융 지원 서비스업,합병,2023-10-13,12월,한웅,,서울특별시,에이치엠씨제6호스팩
에이치엠씨제7호스팩,477340,477340.KQ,KOSDAQ,금융 지원 서비스업,기타금융,2024-06-24,12월,조한종,,서울특별시,에이치엠씨제7호스팩
에이치와이티씨,148930,148930.KQ,KOSDAQ,기타 금속 가공제품 제조업,2차전지 장비 초정밀 부품,2022-08-09,12월,성보경,http://www.hyseoul.com,경기도,에이치와이티씨
에이치이엠파마,376270,376270.KQ,KOSDAQ,자연과학 및 공학 연구개발업,"맞춤형 헬스케어, LBP 디스커버리 플랫폼",2024-11-05,12월,지요셉,http://www.hempharma.bio,경기도,에이치이엠파마
에이치케이,44780,044780.KQ,KOSDAQ,특수 목적용 기계 제조업,레이저가공 절단기,2000-09-07,12월,계명재,http://www.hk-global.com,경기도,에이치케이
에이치피오,357230,357230.KQ,KOSDAQ,기타 식품 제조업,"건강기능식품(유산균, 비타민 등)",2021-05-14,12월,민택근,http://denps.com/kor,서울특별시,에이치피오
에이텀,355690,355690.KQ,KOSDAQ,전자부품 제조업,평판형 트랜스,2023-12-01,12월,한택수,http://www.iatum.com,서울특별시,에이텀
에이테크솔루션,71670,071670.KQ,KOSDAQ,특수 목적용 기계 제조업,"대형정밀금형(가전,자동차용 등)",2009-04-17,12월,유영목,http://www.atechsolution.co.kr,경기도,에이테크솔루션
에이텍,45660,045660.KQ,KOSDAQ,컴퓨터 및 주변장치 제조업,"PC,모니터",2001-05-24,12월,신승영,http://www.atec.kr,경기도,에이텍
에이텍모빌리티,224110,224110.KQ,KOSDAQ,통신 및 방송 장비 제조업,교통카드단말기,2015-08-25,12월,"신승영, 최성용(각자대표이사)",http://www.atecmobility.com,경기도,에이텍모빌리티
에이티넘인베스트,21080,021080.KQ,KOSDAQ,신탁업 및 집합투자업,벤처캐피탈,1991-07-12,12월,"신기천, 이승용(각자대표)",http://www.hanmivc.co.kr,서울특별시,에이티넘인베스트
